episode,reward,r_acc,r_action
413,-303.000000,-303.000000,-91.658698
414,-312.666687,-312.666666,-122.019972
415,-359.777771,-359.777775,-83.022480
416,-284.555573,-284.555559,-96.888079
417,-379.111115,-379.111111,-110.413838
418,-321.666687,-321.666668,-122.099748
419,-382.111115,-382.111116,-101.169679
420,-294.222229,-294.222223,-98.027572
421,-405.444458,-405.444449,-124.954867
422,-499.111084,-499.111107,-121.070672
423,-437.666626,-437.666668,-81.866336
424,-476.111084,-476.111109,-70.227109
425,-340.444458,-340.444439,-101.966528
426,-405.111145,-405.111118,-98.582572
427,-710.222229,-710.222218,-138.657923
428,-346.888885,-346.888891,-103.950762
429,-261.666687,-261.666662,-122.737495
430,-350.111115,-350.111111,-87.209053
431,-443.222229,-443.222227,-91.700039
432,-516.555542,-516.555557,-111.237753
433,-316.000000,-316.000000,-98.419431
434,-352.333313,-352.333336,-97.945995
435,-340.222229,-340.222229,-90.546848
436,-381.888855,-381.888884,-101.589214
437,-364.555542,-364.555553,-116.687842
438,-438.000000,-437.999996,-115.124970
439,-418.666687,-418.666676,-66.603184
440,-260.555542,-260.555551,-93.892490
441,-213.000000,-212.999998,-95.774711
442,-432.222229,-432.222224,-86.531109
443,-318.333344,-318.333332,-134.739375
444,-319.000000,-319.000002,-106.368643
445,-373.222229,-373.222223,-97.586625
446,-416.000031,-416.000004,-105.918895
447,-386.111115,-386.111116,-112.687231
448,-444.333374,-444.333338,-106.760737
449,-553.444458,-553.444448,-106.639339
450,-344.111115,-344.111114,-83.964047
451,-345.111115,-345.111111,-90.583335
452,-303.555542,-303.555552,-99.323441
453,-183.444443,-183.444445,-95.556141
454,-411.888885,-411.888887,-130.177544
455,-316.777771,-316.777767,-105.140152
456,-317.111115,-317.111111,-131.679977
457,-254.333328,-254.333333,-122.230801
458,-380.000031,-380.000000,-106.760376
459,-347.111084,-347.111109,-82.399735
460,-419.444458,-419.444438,-103.095445
461,-246.555557,-246.555553,-111.288101
462,-344.111115,-344.111115,-91.387180
463,-302.444458,-302.444443,-96.457913
464,-204.666672,-204.666668,-66.133287
465,-359.000000,-359.000000,-144.379845
466,-257.555573,-257.555555,-77.112537
467,-263.777771,-263.777777,-99.082106
468,-297.222229,-297.222219,-117.702910
469,-314.111115,-314.111111,-95.922574
470,-312.333313,-312.333332,-72.498050
471,-247.444458,-247.444442,-112.212857
472,-233.111084,-233.111110,-123.968807
473,-291.888916,-291.888893,-111.074375
474,-202.222214,-202.222219,-95.686276
475,-297.666687,-297.666670,-99.016478
476,-282.666656,-282.666664,-117.088945
477,-316.333313,-316.333338,-93.482873
478,-315.999969,-315.999996,-102.738628
479,-405.222229,-405.222227,-78.318791
480,-221.333344,-221.333338,-84.763580
481,-312.888916,-312.888895,-112.169670
482,-284.000000,-283.999998,-99.339827
483,-190.000000,-190.000000,-92.253095
484,-289.111084,-289.111115,-77.186507
485,-284.000000,-284.000004,-79.465444
486,-220.888885,-220.888885,-85.766793
487,-306.111084,-306.111113,-101.275287
488,-354.555542,-354.555552,-100.252161
489,-215.333344,-215.333335,-84.014737
490,-257.111115,-257.111113,-109.010397
491,-289.888885,-289.888884,-99.535169
492,-284.666656,-284.666670,-98.645276
493,-241.444443,-241.444447,-125.056682
494,-277.333313,-277.333332,-85.213132
495,-355.777771,-355.777779,-108.995817
496,-369.777771,-369.777773,-91.826918
497,-190.333328,-190.333338,-117.097830
498,-250.000000,-249.999996,-80.827664
499,-240.555542,-240.555557,-93.134797
500,-248.333344,-248.333338,-103.984183
501,-245.555542,-245.555557,-94.734801
502,-264.888885,-264.888891,-112.967861
503,-226.444443,-226.444443,-75.240915
504,-311.000000,-311.000004,-120.767422
505,-278.444427,-278.444437,-96.654458
506,-332.000000,-331.999995,-126.733446
507,-316.222229,-316.222229,-114.198247
508,-281.222229,-281.222225,-129.165612
509,-220.111099,-220.111106,-101.758219
510,-282.888885,-282.888885,-80.836899
511,-374.000000,-374.000008,-132.396893
512,-258.111115,-258.111115,-99.258130
513,-277.888885,-277.888895,-92.286000
514,-286.222229,-286.222221,-90.969030
515,-230.777771,-230.777781,-107.001946
516,-306.444427,-306.444441,-119.773146
517,-291.666687,-291.666663,-110.008481
518,-294.444427,-294.444448,-99.880305
519,-219.777786,-219.777782,-113.728062
520,-214.777771,-214.777781,-114.974371
521,-195.555557,-195.555555,-81.561621
522,-180.333328,-180.333336,-93.740447
523,-203.777771,-203.777777,-95.293138
524,-260.444427,-260.444441,-84.211174
525,-169.555557,-169.555560,-70.317360
526,-241.777786,-241.777779,-119.811371
527,-146.444443,-146.444444,-97.110448
528,-262.111115,-262.111103,-97.730341
529,-196.222229,-196.222221,-70.224946
530,-191.444458,-191.444447,-85.193005
531,-215.888885,-215.888887,-103.868376
532,-193.333344,-193.333332,-70.168309
533,-234.333344,-234.333336,-102.647194
534,-340.111084,-340.111107,-125.619758
535,-212.111115,-212.111111,-121.304236
536,-172.444443,-172.444442,-100.726337
537,-200.111115,-200.111113,-91.279299
538,-143.777771,-143.777780,-127.443797
539,-180.777771,-180.777774,-94.212473
540,-200.666672,-200.666667,-112.226664
541,-213.333328,-213.333336,-88.203598
542,-258.444427,-258.444446,-100.446771
543,-185.222214,-185.222221,-88.891180
544,-242.222229,-242.222225,-87.517406
545,-224.999985,-224.999998,-100.297958
546,-240.666656,-240.666668,-105.646191
547,-243.555542,-243.555558,-92.478602
548,-223.333344,-223.333332,-136.536884
549,-250.444443,-250.444443,-83.449117
550,-230.555542,-230.555559,-113.276138
551,-216.222214,-216.222219,-94.431668
552,-181.777786,-181.777781,-96.742885
553,-180.555573,-180.555555,-92.938218
554,-205.444443,-205.444443,-83.318807
555,-156.444443,-156.444446,-107.635627
556,-180.000000,-180.000000,-106.390199
557,-281.111115,-281.111109,-87.421485
558,-212.333328,-212.333332,-84.554322
559,-260.222229,-260.222227,-81.552370
560,-235.111099,-235.111106,-80.081377
561,-286.888916,-286.888887,-116.884541
562,-241.222229,-241.222226,-91.036584
563,-260.777771,-260.777782,-86.489856
564,-271.444458,-271.444443,-98.156181
565,-222.444443,-222.444444,-97.052260
566,-222.777771,-222.777781,-88.986717
567,-264.888885,-264.888889,-109.192022
568,-243.666672,-243.666672,-52.399042
569,-194.333328,-194.333328,-108.488411
570,-225.000000,-224.999996,-85.599096
571,-236.222229,-236.222221,-83.806229
572,-290.222229,-290.222219,-109.559622
573,-227.222214,-227.222224,-84.136434
574,-152.444458,-152.444446,-76.324845
575,-279.777771,-279.777779,-125.418096
576,-230.777786,-230.777778,-115.822396
577,-236.777771,-236.777779,-84.310432
578,-305.333313,-305.333330,-90.396996
579,-263.777771,-263.777776,-84.736392
580,-166.666656,-166.666666,-82.482171
581,-242.777771,-242.777781,-90.620283
582,-252.000015,-252.000006,-117.191719
583,-172.333328,-172.333329,-93.235724
584,-283.000000,-283.000004,-103.528080
585,-202.000000,-202.000001,-84.949149
586,-148.000000,-147.999998,-96.587090
587,-231.111115,-231.111111,-117.452645
588,-214.000000,-214.000004,-67.005306
589,-281.333313,-281.333327,-79.336081
590,-202.333344,-202.333339,-108.005490
591,-200.111115,-200.111113,-77.479606
592,-191.444443,-191.444441,-77.846340
593,-153.555557,-153.555555,-74.906994
594,-188.555557,-188.555556,-109.623252
595,-213.888901,-213.888889,-121.697235
596,-185.444458,-185.444443,-93.245802
597,-212.111115,-212.111114,-84.958326
598,-152.222229,-152.222219,-87.830907
599,-192.222229,-192.222222,-64.553542
600,-225.777786,-225.777780,-108.535547
601,-329.999969,-330.000002,-88.017475
602,-220.777786,-220.777777,-85.391469
603,-241.888870,-241.888884,-106.265512
604,-212.555573,-212.555553,-116.990025
605,-122.555557,-122.555553,-75.741526
606,-251.000000,-250.999994,-77.106498
607,-232.222214,-232.222223,-98.283902
608,-249.333344,-249.333334,-102.541412
609,-240.888901,-240.888887,-99.077881
610,-166.333328,-166.333333,-107.918950
611,-200.333328,-200.333338,-75.469458
612,-269.222229,-269.222225,-91.847945
613,-210.111115,-210.111111,-107.617845
614,-251.777771,-251.777777,-81.657855
615,-271.777771,-271.777777,-85.181235
616,-168.555557,-168.555553,-59.065257
617,-220.555557,-220.555560,-105.755648
618,-285.000000,-284.999999,-80.199796
619,-219.444443,-219.444445,-94.755383
620,-223.444443,-223.444445,-118.974838
621,-179.666656,-179.666665,-93.266984
622,-153.888885,-153.888890,-121.192208
623,-200.555542,-200.555553,-89.037006
624,-165.222229,-165.222226,-83.354095
625,-166.333328,-166.333329,-80.703297
626,-268.333313,-268.333334,-90.410914
627,-217.333344,-217.333335,-95.853629
628,-141.666672,-141.666669,-94.019074
629,-277.888916,-277.888892,-73.811664
630,-202.555542,-202.555551,-99.970894
631,-126.000000,-126.000000,-89.796569
632,-243.777771,-243.777781,-87.123282
633,-203.222214,-203.222219,-79.331782
634,-169.444443,-169.444445,-86.578104
635,-172.555557,-172.555556,-81.892113
636,-231.111115,-231.111107,-80.672740
637,-193.222229,-193.222225,-110.510245
638,-190.555542,-190.555553,-87.905670
639,-198.111115,-198.111111,-86.660273
640,-101.444450,-101.444444,-79.268470
641,-219.444443,-219.444443,-95.219902
642,-282.222229,-282.222225,-87.303425
643,-200.444443,-200.444440,-83.388024
644,-243.888901,-243.888893,-131.894817
645,-149.888885,-149.888888,-90.764656
646,-290.222229,-290.222229,-113.728586
647,-241.222229,-241.222225,-90.716645
648,-182.222214,-182.222223,-108.178468
649,-249.666672,-249.666670,-81.951979
650,-257.555542,-257.555553,-124.698373
651,-163.000000,-162.999998,-73.602376
652,-176.666656,-176.666668,-103.726662
653,-181.333328,-181.333331,-124.196483
654,-137.111115,-137.111110,-106.109960
655,-141.888885,-141.888891,-110.794632
656,-175.000000,-174.999998,-74.873048
657,-172.111115,-172.111110,-81.523547
658,-145.555557,-145.555556,-106.875567
659,-154.666672,-154.666667,-127.440019
660,-139.000000,-138.999999,-111.176314
661,-238.555542,-238.555554,-75.533435
662,-146.444443,-146.444443,-95.060779
663,-178.888885,-178.888888,-55.938466
664,-185.999985,-185.999996,-89.740481
665,-139.666656,-139.666665,-93.797886
