episode,reward,r_acc,r_action
288,-1884.317993,-1836.555573,-47.762474
289,-2141.316406,-2088.666672,-52.649616
290,-1648.391602,-1601.000000,-47.391594
291,-1797.025635,-1734.666656,-62.358897
292,-2317.408203,-2258.888870,-58.519291
293,-1770.558105,-1719.666656,-50.891529
294,-1619.280029,-1567.111115,-52.168888
295,-2213.069092,-2164.555542,-48.513405
296,-2189.161621,-2136.444427,-52.717181
297,-1592.212280,-1549.888893,-42.323264
298,-2211.544922,-2161.111099,-50.433710
299,-1994.877075,-1943.111115,-51.765881
300,-1635.463013,-1585.222198,-50.240764
301,-1671.922852,-1614.000000,-57.922795
302,-2058.196777,-1971.333344,-86.863409
303,-1312.857300,-1256.555557,-56.301751
304,-1964.631104,-1908.333359,-56.297684
305,-2275.116699,-2212.444412,-62.672286
306,-1801.990356,-1741.888901,-60.101544
307,-1878.476562,-1824.333374,-54.143204
308,-1897.091553,-1823.888885,-73.202697
309,-2285.209961,-2222.555573,-62.654383
310,-2094.084473,-2048.000000,-46.084518
311,-2251.815430,-2190.333298,-61.482001
312,-1770.802734,-1706.777786,-64.024886
313,-1640.707642,-1586.555550,-54.152097
314,-1636.571045,-1584.111084,-52.459809
315,-1707.250244,-1640.777771,-66.472453
316,-2001.961914,-1957.111137,-44.850825
317,-2175.920898,-2119.555557,-56.365408
318,-1490.893677,-1417.666679,-73.226912
319,-2077.398926,-2004.555542,-72.843335
320,-2050.079346,-2000.222214,-49.857282
321,-1905.693481,-1850.111069,-55.582534
322,-1624.780029,-1571.000008,-53.780110
323,-1721.936890,-1651.777718,-70.159140
324,-1748.775269,-1692.999985,-55.775251
325,-2021.664185,-1972.666710,-48.997539
326,-1707.054932,-1657.222214,-49.832697
327,-2347.760254,-2290.555542,-57.204595
328,-1943.734253,-1902.999992,-40.734288
329,-2064.128174,-2007.222183,-56.906153
330,-2027.354492,-1978.666656,-48.687854
331,-1972.205322,-1921.666672,-50.538715
332,-1668.284058,-1616.666687,-51.617374
333,-1955.846680,-1906.888924,-48.957838
334,-1770.541748,-1703.555580,-66.986259
335,-1773.488403,-1730.000015,-43.488463
336,-1655.706665,-1596.666672,-59.040055
337,-1835.170044,-1788.777756,-46.392206
338,-1949.000732,-1907.777756,-41.222989
339,-1862.769531,-1813.444462,-49.325045
340,-2020.660278,-1962.999992,-57.660208
341,-2036.437134,-1990.555573,-45.881474
342,-2332.295654,-2290.666702,-41.628958
343,-2141.866211,-2073.111099,-68.755123
344,-1598.413330,-1544.777802,-53.635426
345,-1642.053711,-1597.444450,-44.609349
346,-2308.635010,-2249.333344,-59.301617
347,-1568.622314,-1524.444427,-44.177735
348,-1685.549561,-1631.444447,-54.105133
349,-2026.313843,-1956.555557,-69.758268
350,-1679.437378,-1619.888885,-59.548437
351,-1941.682617,-1895.666687,-46.016043
352,-2164.528320,-2105.000031,-59.528233
353,-1732.513184,-1689.333344,-43.179753
354,-1569.623291,-1519.444443,-50.178876
355,-1679.250854,-1633.888855,-45.362044
356,-1797.939087,-1731.444427,-66.494656
357,-2337.484619,-2296.333313,-41.151503
358,-1784.193604,-1716.333344,-67.860308
359,-1753.786011,-1697.222229,-56.563645
360,-2132.766357,-2093.888893,-38.877370
361,-1890.826172,-1841.555550,-49.270607
362,-1186.949707,-1133.888885,-53.060812
363,-1430.364624,-1388.222244,-42.142347
364,-2248.870850,-2210.666672,-38.204111
365,-1436.551636,-1374.444443,-62.107157
366,-1664.278809,-1608.777802,-55.500943
367,-1631.083862,-1578.555542,-52.528336
368,-1490.535156,-1442.555557,-47.979618
369,-1999.492188,-1940.666656,-58.825484
370,-1639.841553,-1587.777756,-52.063805
371,-1551.177856,-1491.333313,-59.844506
372,-1112.468506,-1065.555557,-46.912952
373,-1254.275146,-1217.222237,-37.052852
374,-1467.570557,-1417.666672,-49.903931
375,-1457.501953,-1392.222237,-65.279858
376,-1523.954956,-1473.777763,-50.177191
377,-1577.096802,-1527.555542,-49.541362
378,-1308.404419,-1255.888870,-52.515574
379,-2190.021729,-2115.111092,-74.910555
380,-1600.492310,-1555.222221,-45.270074
381,-1806.949219,-1741.333344,-65.615895
382,-970.757324,-913.888908,-56.868392
383,-1740.464966,-1677.666649,-62.798280
384,-1515.671997,-1461.222233,-54.449894
385,-1530.293945,-1482.666664,-47.627288
386,-1514.901978,-1451.111107,-63.790878
387,-860.935608,-784.555557,-76.380025
388,-1128.749756,-1081.999985,-46.749803
389,-1323.911133,-1273.888885,-50.022091
390,-1500.208374,-1447.555557,-52.652859
391,-1301.072021,-1250.999985,-50.072065
392,-1243.652344,-1195.444443,-48.207916
393,-1502.750122,-1438.000000,-64.750191
394,-1509.648193,-1463.888901,-45.759371
395,-1249.796997,-1198.111115,-51.685860
396,-1557.819458,-1489.111130,-68.708233
397,-1719.261353,-1681.666656,-37.594733
398,-881.825195,-816.666664,-65.158500
399,-1140.612305,-1080.555565,-60.056710
400,-1564.711670,-1500.777794,-63.933784
401,-928.349243,-887.888885,-40.460369
402,-1029.920410,-975.666649,-54.253756
403,-1354.794556,-1309.777802,-45.016684
404,-1238.281616,-1183.777786,-54.503778
405,-1244.789551,-1185.000015,-59.789582
406,-1426.859497,-1355.000000,-71.859404
407,-1072.652954,-1033.222237,-39.430748
408,-842.649658,-770.888885,-71.760736
409,-1331.353516,-1279.666679,-51.686814
410,-1137.827271,-1101.888885,-35.938327
411,-1130.439575,-1065.666679,-64.772945
412,-1040.452148,-980.000000,-60.452104
413,-1133.564819,-1075.666656,-57.898151
414,-1236.943970,-1183.888893,-53.054976
415,-1217.314331,-1164.555550,-52.758770
416,-1681.710693,-1641.555542,-40.155154
417,-1532.030884,-1463.222229,-68.808611
418,-1021.686584,-975.444441,-46.242123
419,-1255.341064,-1193.333321,-62.007819
420,-1099.561035,-1043.555542,-56.005447
421,-1058.837646,-994.444437,-64.393231
422,-1015.708984,-968.999989,-46.708959
423,-997.238403,-936.888882,-60.349541
424,-1075.131104,-1018.777756,-56.353333
425,-980.238098,-926.444450,-53.793614
426,-1090.010254,-1043.222214,-46.787968
427,-842.161011,-799.888885,-42.272143
428,-1129.936401,-1070.444458,-59.491885
429,-1046.805298,-984.444458,-62.360811
430,-1250.347412,-1198.666674,-51.680662
431,-1191.492676,-1126.888901,-64.603768
432,-888.451599,-837.222214,-51.229411
433,-1133.747925,-1082.444443,-51.303436
434,-984.792542,-930.000004,-54.792560
435,-1029.805664,-971.555561,-58.250084
436,-1104.054688,-1046.555542,-57.499173
437,-862.821655,-812.333330,-50.488330
438,-757.262939,-712.555557,-44.707356
439,-1059.437012,-1004.888878,-54.548084
440,-1193.443359,-1127.333321,-66.110080
441,-933.797424,-884.444439,-49.352975
442,-859.838379,-801.111115,-58.727275
443,-713.699951,-656.666660,-57.033291
444,-1033.248047,-973.111099,-60.136944
445,-923.731934,-865.777786,-57.954151
446,-683.618042,-613.555565,-70.062525
447,-770.247131,-723.222229,-47.024866
448,-919.963928,-873.444454,-46.519525
449,-896.052002,-843.111115,-52.940845
450,-1214.504395,-1146.111118,-68.393307
451,-741.649353,-688.555571,-53.093778
452,-719.039062,-653.555561,-65.483502
